2025-08-23 13:07:40,111 INFO: Discovered station-like nodes: 0
2025-08-23 13:07:48,660 INFO: Discovered station-like nodes: 0
2025-08-23 13:10:14,251 INFO: Root tag after strip: meteorology
2025-08-23 13:10:14,355 INFO: Generic station-like nodes discovered: 1153
2025-08-23 13:10:14,358 INFO: Station parsed: name=34.9209389, lat=34.9209389, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=33.1342389, lat=None, lon=33.1342389, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=FRENAROS, lat=35.0424, lon=33.917615, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=FRENAROS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=35.042400, lat=35.0424, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=33.917615, lat=None, lon=33.917615, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=KALAVASOS, lat=34.8044694, lon=33.263475, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=KALAVASOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=34.8044694, lat=34.8044694, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=33.2634750, lat=None, lon=33.263475, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=KALOPANAYIOTIS, lat=35.0053389, lon=32.8262694, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,358 INFO: Station parsed: name=KALOPANAYIOTIS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=35.0053389, lat=35.0053389, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=32.8262694, lat=None, lon=32.8262694, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KAMPOS, lat=35.072153, lon=32.774028, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,359 INFO: Station parsed: name=KAMPOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
