key,FFMC,DMC,DC,last_yyyymmdd
"35.02551,33.77443",90.17384850091275,8.689958348640003,1515.520000000002,20250829
"34.91488,33.01567",93.42906137766404,9.497950832360024,1412.5240000000006,20250829
"35.02597,32.32894",87.39035025758689,7.736644396600023,1384.444,20250829
"35.13305,33.02202",91.34479044062518,9.054686496840004,1505.2599999999989,20250829
"35.14096,33.39658",92.63406652918674,9.524516303640013,1543.995999999998,20250829
"35.05023,33.54230",92.5976080491487,9.603870017119997,1603.683999999998,20250829
"34.68437,32.75737",90.41231809328686,8.778176853360018,1528.0119999999993,20250829
"34.97101,34.07079",88.38469669158589,8.085614521620023,1474.2640000000004,20250829
"34.94296,32.86553",93.48572141424873,9.014631843920002,1236.6280000000017,20250829
"34.86126,33.38253",91.75334412347827,9.197342747299995,1514.4400000000023,20250829
"34.84726,33.14337",92.2351269063914,9.285835825199975,1469.4399999999987,20250829
"34.92094,33.13424",94.8393792850985,10.089810869760024,1492.227999999999,20250829
"35.04240,33.91761",88.92555722377641,8.273527864199991,1509.1479999999997,20250829
"35.00534,32.82627",92.91752593458794,9.59029825708002,1526.715999999999,20250829
"35.07215,32.77403",93.17297577597245,9.770023951300011,1575.5680000000013,20250829
"34.92979,32.58597",90.56987413177436,8.744513768599964,1456.8759999999988,20250829
"34.84389,32.84447",92.01104978201967,9.146385681119973,1428.1479999999974,20250829
"34.72291,32.92244",90.62640937096714,8.827649572799977,1502.4520000000018,20250829
"35.18156,32.68710",90.42968483306443,8.784039919759966,1530.6039999999975,20250829
"34.94917,32.98250",93.8112461374498,9.494975945499968,1374.112000000002,20250829
"34.87348,33.61734",90.02291770259636,8.645646779200007,1521.604,20250829
"34.71544,32.47907",89.02764492460446,8.275274397360016,1461.9160000000013,20250829
"34.89584,33.29288",95.88020713468121,10.785133384520012,1644.5079999999996,20250829
"35.16437,33.35607",92.32518198917982,9.437222676999992,1552.9239999999977,20250829
"34.64572,33.00398",88.5723188976516,8.119837075040019,1442.2239999999974,20250829
"35.06778,32.89821",90.89263998948752,8.842464137759992,1454.3199999999981,20250829
"35.01187,32.52802",91.67581201935187,9.037947855159995,1430.7759999999982,20250829
"34.81586,32.78518",91.23306501391251,8.97644759175999,1481.2119999999995,20250829
"35.17236,33.21488",92.10482603126115,9.357555165599967,1547.0200000000004,20250829
"34.96110,33.33100",93.52736665328666,9.785383533699996,1535.8960000000004,20250829
"34.77943,32.43855",89.27996326535022,8.332075949799995,1442.1879999999978,20250829
"34.73884,33.15902",90.58397016287746,8.834586158399963,1527.219999999998,20250829
"34.70764,33.26170",87.6397503642417,7.838480079480008,1432.7919999999988,20250829
"34.94778,32.92582",95.01735246408455,9.998809472960028,1446.2920000000013,20250829
"35.04195,32.43723",90.88053499129168,8.92450990708,1518.3639999999996,20250829
"34.94991,32.83060",92.34838352416678,9.07429473792003,1352.1160000000018,20250829
"35.14154,32.61632",89.42888637200669,8.34094899887999,1406.1159999999984,20250829
"35.01729,33.24918",92.966465457842,9.611979216000032,1536.508,20250829
"34.67696,33.03755",91.46814790715011,9.124657239620015,1527.6159999999986,20250829
"34.98935,32.68176",91.21511404936422,8.831103414380003,1380.088,20250829
"34.92454,32.88150",93.2735938503239,9.077831157899988,1271.6560000000004,20250829
"35.14448,33.40339",92.63075402358598,9.572878343599989,1575.8200000000004,20250829
"35.01409,33.04920",90.39053382930918,8.65696002000003,1425.268,20250829
"34.97781,33.83799",88.94376175569592,8.263570973620016,1480.3120000000008,20250829
"34.74133,33.32710",90.38483879528711,8.756469056459961,1520.344,20250829
"34.94404,33.01886",95.3553838732251,10.02876891647998,1421.2400000000005,20250829
